employee_id,department,role,privilege_level,risk_score,risk_level,primary_risk_driver,training_module,training_topic,training_duration_minutes,training_priority,completion_deadline_days,follow_up_simulation_days,escalation_requirement
EMP0161,Sales,Sales Representative,Low,20.53,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0162,Human Resources,Recruiter,Medium,36.56,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0163,Information Technology,Security Analyst,Privileged,34.32,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0164,Executive,Director,High,26.7,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0165,Human Resources,Recruiter,Medium,16.46,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0166,Executive,Chief Officer,Privileged,20.74,Moderate,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Standard,30,60,Monitor
EMP0167,Executive,Chief Officer,Privileged,22.63,Moderate,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Standard,30,60,Monitor
EMP0168,Executive,Director,Privileged,19.58,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0169,Executive,Vice President,High,21.23,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0170,Operations,Operations Manager,Medium,33.93,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0171,Sales,Account Executive,Medium,2.88,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0172,Human Resources,HR Manager,High,34.6,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0173,Sales,Account Executive,Medium,25.4,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0174,Legal,Legal Manager,Medium,24.35,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0175,Information Technology,IT Support Analyst,Medium,35.93,High,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,High,7,30,Manager Notification
EMP0176,Marketing,Marketing Manager,Low,7.26,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0177,Sales,Sales Representative,Medium,8.04,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0178,Marketing,Digital Marketing Analyst,Medium,12.35,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0179,Marketing,Marketing Specialist,Low,19.37,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0180,Marketing,Digital Marketing Analyst,Low,23.79,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0181,Marketing,Digital Marketing Analyst,Low,6.74,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0182,Legal,Compliance Analyst,High,11.75,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0183,Marketing,Marketing Manager,Low,15.37,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0184,Executive,Director,Privileged,16.84,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0185,Marketing,Digital Marketing Analyst,Low,17.89,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0186,Marketing,Digital Marketing Analyst,Medium,10.67,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0187,Information Technology,System Administrator,Medium,16.25,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0188,Finance,Accountant,Medium,21.51,Moderate,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Standard,30,60,Monitor
EMP0189,Human Resources,HR Manager,High,32.91,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0190,Information Technology,System Administrator,Medium,19.72,Low,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Routine,90,90,None
EMP0191,Finance,Accountant,High,26.7,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0192,Legal,Legal Assistant,High,25.44,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0193,Legal,Compliance Analyst,High,18.6,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0194,Operations,Operations Specialist,Medium,27.72,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0195,Human Resources,Recruiter,Medium,6.98,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0196,Finance,Accountant,Medium,27.19,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0197,Human Resources,HR Manager,Medium,38.25,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0198,Finance,Financial Analyst,Medium,35.61,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0199,Finance,Finance Manager,Medium,34.46,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0200,Sales,Sales Representative,Medium,6.77,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0201,Human Resources,HR Manager,Medium,26.67,Moderate,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Standard,30,60,Monitor
EMP0202,Executive,Chief Officer,Privileged,34.0,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0203,Legal,Legal Assistant,Medium,9.72,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0204,Information Technology,System Administrator,Medium,18.56,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0205,Finance,Accountant,High,26.39,Moderate,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Standard,30,60,Monitor
EMP0206,Marketing,Marketing Manager,Low,9.79,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0207,Human Resources,HR Manager,Medium,24.35,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0208,Human Resources,HR Manager,High,9.23,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0209,Human Resources,HR Manager,Medium,36.88,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0210,Legal,Legal Manager,High,21.44,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0211,Legal,Legal Assistant,High,25.23,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0212,Finance,Accountant,High,45.65,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0213,Human Resources,Recruiter,High,13.86,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0214,Executive,Chief Officer,High,18.49,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0215,Marketing,Marketing Specialist,Medium,30.04,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0216,Executive,Vice President,Privileged,27.58,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0217,Operations,Operations Specialist,Low,16.63,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0218,Human Resources,Recruiter,High,16.49,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0219,Sales,Account Executive,Medium,23.3,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0220,Legal,Legal Assistant,High,16.39,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0221,Legal,Legal Assistant,High,17.33,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0222,Sales,Account Executive,Medium,12.77,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0223,Legal,Compliance Analyst,High,6.28,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0224,Finance,Finance Manager,Medium,20.56,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0225,Human Resources,HR Specialist,High,24.6,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0226,Executive,Chief Officer,High,29.86,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0227,Executive,Chief Officer,Privileged,27.37,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0228,Executive,Director,High,11.02,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0229,Operations,Operations Analyst,Medium,14.88,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0230,Sales,Account Executive,Medium,14.77,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0231,Executive,Chief Officer,Privileged,43.47,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0232,Marketing,Marketing Manager,Medium,17.51,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0233,Legal,Legal Manager,High,19.86,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0234,Operations,Operations Specialist,Medium,11.19,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0235,Sales,Sales Representative,Low,4.32,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0236,Legal,Legal Assistant,Medium,22.35,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0237,Sales,Sales Representative,Medium,20.56,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0238,Operations,Operations Manager,Medium,15.72,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0239,Human Resources,HR Specialist,High,27.96,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0240,Sales,Account Executive,Low,2.63,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0241,Operations,Operations Analyst,Low,12.63,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0242,Operations,Operations Analyst,Low,7.47,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0243,Operations,Operations Manager,Low,10.74,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0244,Executive,Director,High,24.91,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0245,Operations,Operations Specialist,Medium,14.88,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0246,Executive,Vice President,High,16.91,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0247,Finance,Accountant,High,16.18,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0248,Human Resources,HR Specialist,High,4.28,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0249,Executive,Director,High,18.07,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0250,Information Technology,IT Support Analyst,Privileged,41.79,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0251,Operations,Operations Analyst,Low,6.0,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0252,Human Resources,HR Manager,High,7.75,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0253,Sales,Sales Manager,Medium,22.98,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0254,Executive,Vice President,Privileged,25.58,Moderate,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Standard,30,60,Monitor
EMP0255,Marketing,Digital Marketing Analyst,Low,28.0,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0256,Human Resources,HR Specialist,Medium,35.19,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0257,Operations,Operations Manager,Low,9.16,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0258,Information Technology,IT Support Analyst,Medium,30.14,Moderate,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Standard,30,60,Monitor
EMP0259,Human Resources,HR Specialist,Medium,20.67,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0260,Marketing,Digital Marketing Analyst,Medium,21.82,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0261,Operations,Operations Analyst,Low,20.42,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0262,Operations,Operations Manager,Medium,11.3,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0263,Executive,Director,High,17.44,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0264,Operations,Operations Manager,Low,10.74,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0265,Marketing,Marketing Specialist,Low,4.32,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0266,Information Technology,System Administrator,Medium,39.51,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0267,Human Resources,HR Specialist,Medium,25.51,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0268,Operations,Operations Manager,Medium,13.19,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0269,Executive,Director,Privileged,14.63,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0270,Operations,Operations Manager,Medium,8.98,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0271,Operations,Operations Manager,Medium,17.72,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0272,Executive,Director,High,21.86,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0273,Marketing,Marketing Manager,Medium,20.77,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0274,Operations,Operations Analyst,Low,1.37,Low,Training Weakness,Security Awareness Fundamentals Refresher,Core phishing awareness and safe email behavior,30,Routine,90,90,None
EMP0275,Sales,Sales Manager,Low,18.0,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0276,Operations,Operations Manager,Low,26.21,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0277,Information Technology,System Administrator,Privileged,51.79,Critical,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Immediate,3,14,Security Team Review
EMP0278,Executive,Vice President,High,18.28,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0279,Marketing,Marketing Manager,Medium,36.98,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0280,Human Resources,Recruiter,High,4.81,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0281,Marketing,Digital Marketing Analyst,Medium,19.72,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0282,Human Resources,HR Specialist,High,30.49,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0283,Marketing,Marketing Manager,Medium,18.46,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0284,Operations,Operations Manager,Medium,6.98,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0285,Finance,Accountant,Medium,29.3,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0286,Legal,Compliance Analyst,High,16.39,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0287,Human Resources,Recruiter,Medium,12.88,Low,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Routine,90,90,None
EMP0288,Executive,Vice President,High,9.23,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0289,Sales,Sales Manager,Medium,15.09,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0290,Executive,Chief Officer,Privileged,18.21,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0291,Finance,Financial Analyst,High,12.28,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0292,Information Technology,System Administrator,High,35.65,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0293,Executive,Director,High,18.49,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0294,Sales,Sales Manager,Low,5.26,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0295,Operations,Operations Manager,Low,4.0,Low,Training Weakness,Security Awareness Fundamentals Refresher,Core phishing awareness and safe email behavior,30,Routine,90,90,None
EMP0296,Marketing,Marketing Specialist,Low,0.0,Low,Training Weakness,Security Awareness Fundamentals Refresher,Core phishing awareness and safe email behavior,30,Routine,90,90,None
EMP0297,Human Resources,Recruiter,Medium,17.72,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0298,Information Technology,System Administrator,Privileged,28.32,Moderate,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Standard,30,60,Monitor
EMP0299,Operations,Operations Manager,Medium,18.04,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0300,Marketing,Digital Marketing Analyst,Medium,6.25,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0301,Sales,Account Executive,Low,2.11,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0302,Marketing,Marketing Specialist,Low,17.47,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0303,Human Resources,Recruiter,High,23.12,Moderate,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Standard,30,60,Monitor
EMP0304,Legal,Legal Manager,High,18.07,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0305,Finance,Accountant,High,19.75,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0306,Executive,Director,Privileged,25.26,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0307,Executive,Vice President,Privileged,23.89,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0308,Marketing,Digital Marketing Analyst,Medium,17.72,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0309,Sales,Sales Manager,Low,18.42,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0310,Marketing,Marketing Specialist,Medium,3.51,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0311,Finance,Accountant,High,29.86,Moderate,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Standard,30,60,Monitor
EMP0312,Marketing,Digital Marketing Analyst,Low,9.68,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0313,Executive,Director,High,6.81,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0314,Legal,Legal Assistant,High,23.96,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0315,Human Resources,HR Manager,High,30.7,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0316,Finance,Finance Manager,Medium,13.3,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0317,Marketing,Marketing Manager,Low,1.47,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0318,Human Resources,Recruiter,High,20.39,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0319,Legal,Legal Manager,High,31.44,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0320,Human Resources,Recruiter,High,4.39,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0321,Legal,Legal Manager,High,24.28,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0322,Finance,Finance Manager,Medium,7.82,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
