employee_id,company,department,role,privilege_level,years_with_company,security_training_completed,previous_training_score
EMP0348,NovaCore Financial Services,Human Resources,HR Manager,Medium,4.2,1,100
EMP0349,NovaCore Financial Services,Operations,Operations Specialist,Low,12.0,1,87
EMP0350,NovaCore Financial Services,Legal,Legal Manager,Medium,10.5,1,84
EMP0351,NovaCore Financial Services,Human Resources,Recruiter,High,9.4,1,75
EMP0352,NovaCore Financial Services,Marketing,Marketing Specialist,Low,5.2,1,79
EMP0353,NovaCore Financial Services,Information Technology,Security Analyst,High,2.6,1,78
EMP0354,NovaCore Financial Services,Operations,Operations Analyst,Medium,0.3,1,93
EMP0355,NovaCore Financial Services,Executive,Vice President,Privileged,9.3,1,61
EMP0356,NovaCore Financial Services,Human Resources,Recruiter,Medium,9.6,1,86
EMP0357,NovaCore Financial Services,Information Technology,IT Support Analyst,Privileged,11.7,0,80
EMP0358,NovaCore Financial Services,Marketing,Marketing Manager,Medium,14.5,1,96
EMP0359,NovaCore Financial Services,Human Resources,Recruiter,Medium,9.6,1,72
EMP0360,NovaCore Financial Services,Operations,Operations Manager,Low,4.7,1,80
EMP0361,NovaCore Financial Services,Executive,Vice President,Privileged,1.2,1,92
EMP0362,NovaCore Financial Services,Marketing,Marketing Manager,Medium,0.9,1,59
EMP0363,NovaCore Financial Services,Human Resources,HR Manager,Medium,14.6,1,71
EMP0364,NovaCore Financial Services,Executive,Director,Privileged,11.4,0,82
EMP0365,NovaCore Financial Services,Sales,Sales Manager,Low,0.5,1,96
EMP0366,NovaCore Financial Services,Executive,Chief Officer,Privileged,10.3,1,77
EMP0367,NovaCore Financial Services,Marketing,Marketing Specialist,Low,4.2,1,60
EMP0368,NovaCore Financial Services,Finance,Financial Analyst,High,2.6,1,51
EMP0369,NovaCore Financial Services,Executive,Director,High,10.5,1,80
EMP0370,NovaCore Financial Services,Sales,Sales Manager,Low,9.9,1,71
EMP0371,NovaCore Financial Services,Marketing,Digital Marketing Analyst,Medium,14.3,1,85
EMP0372,NovaCore Financial Services,Marketing,Marketing Manager,Low,6.4,1,76
EMP0373,NovaCore Financial Services,Marketing,Marketing Manager,Low,6.1,1,77
EMP0374,NovaCore Financial Services,Executive,Chief Officer,Privileged,13.4,1,80
EMP0375,NovaCore Financial Services,Operations,Operations Analyst,Medium,3.4,0,62
EMP0376,NovaCore Financial Services,Sales,Account Executive,Medium,13.0,1,95
EMP0377,NovaCore Financial Services,Sales,Account Executive,Low,14.5,1,82
EMP0378,NovaCore Financial Services,Legal,Legal Manager,High,11.6,1,83
EMP0379,NovaCore Financial Services,Finance,Accountant,High,11.5,1,80
EMP0380,NovaCore Financial Services,Sales,Sales Representative,Medium,12.0,1,86
EMP0381,NovaCore Financial Services,Human Resources,HR Manager,Medium,1.9,0,69
EMP0382,NovaCore Financial Services,Finance,Financial Analyst,High,3.2,1,99
EMP0383,NovaCore Financial Services,Sales,Sales Representative,Low,1.2,1,88
EMP0384,NovaCore Financial Services,Human Resources,HR Manager,Medium,4.8,1,70
EMP0385,NovaCore Financial Services,Sales,Sales Representative,Medium,0.4,0,72
EMP0386,NovaCore Financial Services,Information Technology,Security Analyst,Medium,9.1,1,48
EMP0387,NovaCore Financial Services,Operations,Operations Analyst,Low,10.5,1,66
EMP0388,NovaCore Financial Services,Operations,Operations Analyst,Low,3.8,1,77
EMP0389,NovaCore Financial Services,Finance,Financial Analyst,Medium,2.3,1,96
EMP0390,NovaCore Financial Services,Legal,Legal Assistant,High,8.5,0,88
EMP0391,NovaCore Financial Services,Finance,Financial Analyst,High,5.0,1,75
EMP0392,NovaCore Financial Services,Finance,Financial Analyst,High,0.7,0,69
EMP0393,NovaCore Financial Services,Human Resources,HR Manager,Medium,6.1,0,99
EMP0394,NovaCore Financial Services,Executive,Vice President,Privileged,12.0,1,85
EMP0395,NovaCore Financial Services,Human Resources,Recruiter,Medium,2.7,0,94
EMP0396,NovaCore Financial Services,Finance,Finance Manager,High,0.7,1,89
EMP0397,NovaCore Financial Services,Executive,Chief Officer,High,1.0,1,86
EMP0398,NovaCore Financial Services,Finance,Accountant,High,10.8,1,82
EMP0399,NovaCore Financial Services,Marketing,Marketing Manager,Low,5.2,1,93
EMP0400,NovaCore Financial Services,Executive,Chief Officer,Privileged,6.9,1,80
EMP0401,NovaCore Financial Services,Human Resources,HR Specialist,High,8.0,1,70
EMP0402,NovaCore Financial Services,Information Technology,IT Support Analyst,Medium,13.1,1,72
EMP0403,NovaCore Financial Services,Operations,Operations Manager,Medium,14.6,1,84
EMP0404,NovaCore Financial Services,Marketing,Marketing Manager,Medium,9.9,1,71
EMP0405,NovaCore Financial Services,Executive,Chief Officer,Privileged,8.4,1,78
EMP0406,NovaCore Financial Services,Human Resources,HR Manager,Medium,3.2,1,79
EMP0407,NovaCore Financial Services,Sales,Account Executive,Medium,1.3,0,74
EMP0408,NovaCore Financial Services,Sales,Account Executive,Medium,13.1,1,57
EMP0409,NovaCore Financial Services,Executive,Vice President,Privileged,11.2,1,63
EMP0410,NovaCore Financial Services,Human Resources,Recruiter,High,14.8,0,60
EMP0411,NovaCore Financial Services,Legal,Legal Manager,High,13.0,1,98
EMP0412,NovaCore Financial Services,Legal,Legal Assistant,High,7.4,1,72
EMP0413,NovaCore Financial Services,Human Resources,HR Specialist,Medium,13.5,1,85
EMP0414,NovaCore Financial Services,Human Resources,Recruiter,Medium,13.7,1,59
EMP0415,NovaCore Financial Services,Legal,Legal Assistant,Medium,9.4,1,70
EMP0416,NovaCore Financial Services,Legal,Legal Manager,Medium,10.8,1,82
EMP0417,NovaCore Financial Services,Marketing,Digital Marketing Analyst,Medium,2.9,1,77
EMP0418,NovaCore Financial Services,Finance,Accountant,High,3.9,1,92
EMP0419,NovaCore Financial Services,Legal,Legal Assistant,Medium,6.8,1,91
EMP0420,NovaCore Financial Services,Information Technology,Security Analyst,High,2.6,1,57
EMP0421,NovaCore Financial Services,Sales,Sales Representative,Medium,14.5,1,62
EMP0422,NovaCore Financial Services,Legal,Legal Assistant,High,11.6,0,91
EMP0423,NovaCore Financial Services,Sales,Account Executive,Low,14.6,1,78
EMP0424,NovaCore Financial Services,Operations,Operations Analyst,Low,5.2,1,62
EMP0425,NovaCore Financial Services,Operations,Operations Manager,Medium,6.6,1,96
EMP0426,NovaCore Financial Services,Legal,Compliance Analyst,Medium,2.7,1,88
EMP0427,NovaCore Financial Services,Information Technology,IT Support Analyst,Privileged,0.7,1,74
EMP0428,NovaCore Financial Services,Marketing,Marketing Specialist,Low,12.7,1,100
EMP0429,NovaCore Financial Services,Finance,Financial Analyst,Medium,8.9,1,74
EMP0430,NovaCore Financial Services,Marketing,Digital Marketing Analyst,Medium,4.2,0,75
EMP0431,NovaCore Financial Services,Legal,Legal Assistant,High,8.1,1,86
EMP0432,NovaCore Financial Services,Operations,Operations Manager,Medium,4.9,1,77
EMP0433,NovaCore Financial Services,Human Resources,HR Specialist,Medium,0.8,0,88
EMP0434,NovaCore Financial Services,Information Technology,Security Analyst,Medium,6.9,1,82
EMP0435,NovaCore Financial Services,Human Resources,Recruiter,High,7.4,1,91
EMP0436,NovaCore Financial Services,Marketing,Digital Marketing Analyst,Medium,3.2,1,65
EMP0437,NovaCore Financial Services,Marketing,Digital Marketing Analyst,Low,14.6,0,70
EMP0438,NovaCore Financial Services,Human Resources,Recruiter,High,13.0,1,100
EMP0439,NovaCore Financial Services,Human Resources,Recruiter,High,10.5,1,79
EMP0440,NovaCore Financial Services,Operations,Operations Analyst,Low,7.6,1,82
EMP0441,NovaCore Financial Services,Marketing,Marketing Manager,Low,13.1,1,91
EMP0442,NovaCore Financial Services,Finance,Financial Analyst,High,3.4,1,92
EMP0443,NovaCore Financial Services,Sales,Sales Representative,Medium,6.0,1,81
EMP0444,NovaCore Financial Services,Operations,Operations Specialist,Low,15.0,0,68
EMP0445,NovaCore Financial Services,Finance,Accountant,High,14.7,1,81
EMP0446,NovaCore Financial Services,Information Technology,IT Support Analyst,High,8.6,1,83
EMP0447,NovaCore Financial Services,Sales,Sales Manager,Medium,13.2,1,92
EMP0448,NovaCore Financial Services,Human Resources,Recruiter,Medium,12.2,1,63
EMP0449,NovaCore Financial Services,Marketing,Marketing Specialist,Medium,12.0,1,76
EMP0450,NovaCore Financial Services,Human Resources,Recruiter,High,8.3,0,79
EMP0451,NovaCore Financial Services,Marketing,Marketing Manager,Medium,5.0,1,97
EMP0452,NovaCore Financial Services,Operations,Operations Analyst,Medium,6.0,1,67
EMP0453,NovaCore Financial Services,Finance,Accountant,Medium,3.7,1,97
EMP0454,NovaCore Financial Services,Executive,Chief Officer,Privileged,9.4,1,90
EMP0455,NovaCore Financial Services,Human Resources,Recruiter,Medium,5.8,1,48
EMP0456,NovaCore Financial Services,Sales,Account Executive,Medium,0.6,1,100
EMP0457,NovaCore Financial Services,Human Resources,Recruiter,High,5.8,1,90
EMP0458,NovaCore Financial Services,Legal,Legal Assistant,High,9.2,1,100
EMP0459,NovaCore Financial Services,Information Technology,IT Support Analyst,Privileged,12.2,1,87
EMP0460,NovaCore Financial Services,Human Resources,HR Manager,Medium,3.8,1,81
EMP0461,NovaCore Financial Services,Legal,Compliance Analyst,Medium,1.1,1,68
EMP0462,NovaCore Financial Services,Sales,Sales Representative,Low,7.4,1,74
EMP0463,NovaCore Financial Services,Operations,Operations Analyst,Low,4.4,1,80
EMP0464,NovaCore Financial Services,Information Technology,Security Analyst,Medium,4.8,1,94
EMP0465,NovaCore Financial Services,Information Technology,Security Analyst,High,10.8,1,66
EMP0466,NovaCore Financial Services,Executive,Chief Officer,Privileged,2.9,1,75
EMP0467,NovaCore Financial Services,Legal,Legal Manager,High,2.9,1,70
EMP0468,NovaCore Financial Services,Information Technology,System Administrator,Medium,8.6,1,81
EMP0469,NovaCore Financial Services,Executive,Vice President,Privileged,14.5,1,80
EMP0470,NovaCore Financial Services,Operations,Operations Manager,Low,0.8,1,94
EMP0471,NovaCore Financial Services,Legal,Legal Manager,Medium,14.3,1,78
EMP0472,NovaCore Financial Services,Operations,Operations Specialist,Medium,3.6,1,78
EMP0473,NovaCore Financial Services,Finance,Financial Analyst,High,9.2,1,63
EMP0474,NovaCore Financial Services,Operations,Operations Analyst,Low,11.8,1,69
EMP0475,NovaCore Financial Services,Marketing,Digital Marketing Analyst,Low,12.4,1,69
EMP0476,NovaCore Financial Services,Executive,Chief Officer,High,9.4,1,81
EMP0477,NovaCore Financial Services,Legal,Legal Manager,High,8.9,1,85
EMP0478,NovaCore Financial Services,Information Technology,IT Support Analyst,High,3.4,0,82
EMP0479,NovaCore Financial Services,Human Resources,Recruiter,Medium,0.5,1,89
EMP0480,NovaCore Financial Services,Information Technology,IT Support Analyst,Medium,3.6,1,100
EMP0481,NovaCore Financial Services,Executive,Vice President,High,9.0,1,68
EMP0482,NovaCore Financial Services,Legal,Compliance Analyst,High,6.5,1,97
EMP0483,NovaCore Financial Services,Marketing,Digital Marketing Analyst,Medium,10.4,1,84
EMP0484,NovaCore Financial Services,Finance,Finance Manager,High,4.3,0,97
EMP0485,NovaCore Financial Services,Human Resources,Recruiter,Medium,1.5,1,71
EMP0486,NovaCore Financial Services,Marketing,Digital Marketing Analyst,Medium,3.6,1,65
EMP0487,NovaCore Financial Services,Information Technology,System Administrator,Medium,1.2,1,80
EMP0488,NovaCore Financial Services,Information Technology,System Administrator,High,13.2,1,59
EMP0489,NovaCore Financial Services,Marketing,Marketing Specialist,Low,8.1,1,92
EMP0490,NovaCore Financial Services,Operations,Operations Manager,Medium,14.9,1,63
EMP0491,NovaCore Financial Services,Legal,Legal Assistant,Medium,8.5,1,69
EMP0492,NovaCore Financial Services,Marketing,Marketing Manager,Medium,8.5,1,77
EMP0493,NovaCore Financial Services,Finance,Accountant,High,2.8,1,80
EMP0494,NovaCore Financial Services,Information Technology,IT Support Analyst,High,1.6,1,61
EMP0495,NovaCore Financial Services,Executive,Director,High,11.4,1,91
EMP0496,NovaCore Financial Services,Information Technology,IT Support Analyst,Medium,13.9,1,85
EMP0497,NovaCore Financial Services,Operations,Operations Analyst,Low,6.1,1,92
EMP0498,NovaCore Financial Services,Legal,Legal Manager,Medium,7.9,1,79
EMP0499,NovaCore Financial Services,Marketing,Marketing Specialist,Low,1.5,1,79
EMP0500,NovaCore Financial Services,Information Technology,Security Analyst,Privileged,11.8,1,76
